fold,model,ARI,V,Score
1,LGBM,0.8956935149775064,0.8586314644817112,0.8771624897296089
1,KNN,0.8700135395730291,0.8330337321034447,0.8515236358382369
1,RIDGE,0.895825921299992,0.8611826302592359,0.878504275779614
2,LGBM,0.9055405142214908,0.8626605253910159,0.8841005198062534
2,KNN,0.8808148889976625,0.8423084900341288,0.8615616895158956
2,RIDGE,0.9056571858493653,0.8643071126649015,0.8849821492571334
3,LGBM,0.7991920108487999,0.7729488156398635,0.7860704132443317
3,KNN,0.7719970141944452,0.7545987329237294,0.7632978735590873
3,RIDGE,0.8057629700048858,0.7721261516471617,0.7889445608260237
4,LGBM,0.8845662613690412,0.8346035528367733,0.8595849071029072
4,KNN,0.6402513147243689,0.6432899429756739,0.6417706288500213
4,RIDGE,0.8860549108260523,0.8389390148288908,0.8624969628274715
5,LGBM,0.7909979417773368,0.8034068877203039,0.7972024147488204
5,KNN,0.7437977917399808,0.7601330795608758,0.7519654356504284
5,RIDGE,0.780018922579616,0.7967508705189651,0.7883848965492906
1,ENSEMBLE,0.8896568360693459,0.852931104605708,0.8712939703375269
2,ENSEMBLE,0.9038563542988451,0.8621201765747019,0.8829882654367736
3,ENSEMBLE,0.79674050220626,0.7691786300451426,0.7829595661257014
4,ENSEMBLE,0.8875185226108233,0.8406803723464278,0.8640994474786255
5,ENSEMBLE,0.8101057331691495,0.8099985101515904,0.81005212166037
